_id,userId,userName,alias,profilePicture,userCreatedAt,bio,followers,following,lists,statusesCount,verified,userLocation,lang,type,text,createdAt,mentions,totalRetweets,favorites,replies,links,firstLink,images,impressions,isImage,firstImage,location,url,noteTweetText,inReplyTo,inReplyToId,inReplyToUserId,reportName
1574391873573208064,12531012,Mabel Gasca,mabelgasca,https://pbs.twimg.com/profile_images/2006751127686066176/1JFJHOoH_normal.jpg,2008-01-22T11:03:22.000Z,"Maestría de Artes en Periodismo y Medios de Comunicación Griffth University Australia. Creo en Jesús.",9707,7037,318,318610,true,"Barranquilla",es,original,"Aparecieron las llaves 🔑 y el candado 🔐 Ospina Petro y Alexander 😱Cali pachanguero para vivir sabroso https://t.co/wwzHnvultk",2022-09-26T13:34:08.000Z,"[]",2,2,0,"[""https://twitter.com/JohnAntipetro/status/1574385791245361152""]","https://twitter.com/JohnAntipetro/status/1574385791245361152","[]",0,false,,"Barranquilla",https://x.com/user/status/1574391873573208064,,false,,,
1574391831026188293,713874374089162752,Nelson Darío,carlopez5819,https://pbs.twimg.com/profile_images/1548317618381017093/A4rxiUkZ_normal.jpg,2016-03-26T23:44:48.000Z,"Siempre conservo la derecha.En el capitalismo el que no trabaja no come en el comunismo el que no obedece no come Petro es comunismo.",2516,2469,3,70607,false,"",es,original,"En Chile creyeron que iban a vivir sabroso. Hoy despierta y se sacude del discurso mentiroso del comunismo.Gustavo Petro es comunismo. https://t.co/WOWyCQi5sn",2022-09-26T13:33:57.000Z,"[]",1,1,0,"[""https://x.com/carlopez5819/status/1574391831026188293/video/1""]","https://x.com/carlopez5819/status/1574391831026188293/video/1","[]",0,false,,"",https://x.com/user/status/1574391831026188293,,false,,,
1574388331026456577,208108831,Consuelo Vargas,convarcol,https://pbs.twimg.com/profile_images/526713805665878016/aa4jxMgf_normal.jpeg,2010-10-26T17:05:21.000Z,"AGRICULTORA",26,44,0,2354,false,"Bogota, Colombia",es,original,"Y ningún ente de control hace nada. Por temor a disgustar a Petro? Quieren vivir sabroso https://t.co/2A3d2LjveT",2022-09-26T13:20:03.000Z,"[]",0,0,0,"[""https://twitter.com/Danielbricen/status/1574381845709561859""]","https://twitter.com/Danielbricen/status/1574381845709561859","[]",0,false,,"Bogota Colombia",https://x.com/user/status/1574388331026456577,,false,,,
1574387504651837441,299809570,Jacs,jacscioville,https://pbs.twimg.com/profile_images/2066788350/IMG00229-20120222-0857_normal.jpg,2011-05-16T18:21:15.000Z,"Jesús Yo Confió en Ti",53,304,1,11795,false,"",es,reply,"@RevistaSemana Vivir sabroso viajar sabroso comprar ropa costosa en NYC bailar ridículo y aparentar que Colombia está feliz con el desgobierno de Petro. Vergonzoso sencillamente vergonzoso. Y todo a costa de nuestros impuestos!!!",2022-09-26T13:16:46.000Z,"[""@revistasemana""]",1,4,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1574387504651837441,,RevistaSemana,1574380187441135617,18079284,
1574383738795999238,4078082075,Jhon,Jhonmariosanch7,https://pbs.twimg.com/profile_images/1136643689848160256/gBRyVJzk_normal.jpg,2015-10-30T21:53:16.000Z,"",17,147,0,4382,false,"",es,reply,"@cutcolombia @petrogustavo @MinHacienda @JoseA_Ocampo El año pasado acabaron con el pais por una reforma tributaria ahora la apoyan tranquilos q a ustedes no los va afectar la reforma tributaria ni el alza de los combustibles van a vivir sabroso con su petro jaja",2022-09-26T13:01:48.000Z,"[""@cutcolombia"",""@petrogustavo"",""@minhacienda"",""@josea_ocampo""]",0,0,0,"[]",,"[]",0,false,,"",https://x.com/user/status/1574383738795999238,,cutcolombia,1572395044723728387,310385214,
1574383652183904256,75887589,Mario Cuzco,MarioCuzco,https://pbs.twimg.com/profile_images/1513214023218700291/-6MfC20R_normal.jpg,2009-09-20T22:10:10.000Z,"",708,2100,3,27349,false,"Madrid, España",es,reply,"@EmmaRincon No creo. Recién empieza el vivir sabroso. La mayoría decidió por Petro deben darle tiempo.",2022-09-26T13:01:27.000Z,"[""@emmarincon""]",0,3,1,"[]",,"[]",0,false,,"Madrid España",https://x.com/user/status/1574383652183904256,,EmmaRincon,1574377974597500929,73948999,
1574383227778830336,3001209084,Jorge Villamizar,VillaPrensa,https://pbs.twimg.com/profile_images/1099007344002957312/7uRbyABq_normal.jpg,2015-01-29T12:44:32.000Z,"Hijo de Dios comunicador social y periodista. Editor en @RevistaSemana y @ForosSemana. “La alegría del Señor es mi fuerza”.",823,3166,0,61878,false,"Bogotá y Bucaramanga",es,original,"Bolívar y Petro puro terrorismo de Estado. A vivir sabroso... https://t.co/IPtLRvrWCC",2022-09-26T12:59:46.000Z,"[]",0,0,0,"[""https://twitter.com/RestrepoJCamilo/status/1574067804416147456""]","https://twitter.com/RestrepoJCamilo/status/1574067804416147456","[]",0,false,,"Bogotá y Bucaramanga",https://x.com/user/status/1574383227778830336,,false,,,
1574382884160413697,150630093,Jhon Suárez,jhonsuarez160,https://pbs.twimg.com/profile_images/1390100273545293824/fxmm-Hrs_normal.jpg,2010-06-01T12:18:09.000Z,"Soy de Cristo y no eres mi enemigo no soy perfecto pero quiero llegar a serlo siendo bueno y amando a los demás siendo justo y reclamando justicia.",4718,5093,3,47880,false,"Cundinamarca, Colombia",es,original,"Como así que Petro le dijo a la Vice que no solo tenía que saludar al personal de servicio sino que tenía que ayudarles con la limpieza. Por eso ella dijo que para vivir sabroso hay que trabajar? #Marcha26S por la libertad de la Vice.",2022-09-26T12:58:24.000Z,"[]",4,13,1,"[]",,"[]",0,false,,"Cundinamarca Colombia",https://x.com/user/status/1574382884160413697,,false,,,
1574381816026468353,68808079,Edwin Nope Molina,ednomo,https://pbs.twimg.com/profile_images/1883699634339512320/MSByqYlZ_normal.jpg,2009-08-25T21:29:37.000Z,"Nuestras virtudes y nuestros defectos son inseparables como la fuerza y la materia. Cuando se separan el hombre deja de existir",950,946,0,55958,false,"Antioquia, Colombia",es,original,"@lcvelez pregunta alguien sabe dónde está Francia Márquez?.Rta: está escondida con la ministra de minas y energía... Mientras rata Roy y Prada cambian el país.para ellos hacerse millonarios y vivir sabroso",2022-09-26T12:54:10.000Z,"[""@lcvelez""]",0,0,0,"[]",,"[]",0,false,,"Antioquia Colombia",https://x.com/user/status/1574381816026468353,,false,,,
1574352789211607040,287949512,El del láser,eddibm,https://pbs.twimg.com/profile_images/1538665208612368385/OZzp0puz_normal.jpg,2011-04-26T00:03:51.000Z,"Empresario. Gurú del corte y grabado láser en Colombia. 80ero. Anti izquierda.",493,89,8,33067,false,"Bogotá, Colombia",es,original,"Se cansó de vivir sabroso el actor? Que viuda negra la mujer lleva 2….",2022-09-26T10:58:49.000Z,"[]",0,0,0,"[]",,"[]",0,false,,"Bogotá Colombia",https://x.com/user/status/1574352789211607040,,false,,,
